subject_table,subject_field,predicate,related_table,related_field
survey,samplingPerformedByID,samplingPerformedByID → agentID,agent,agentID
survey,samplingEffortProtocolID,samplingEffortProtocolID → protocolID,protocol,protocolID
survey-agent-role,agentID,agentID → agentID,agent,agentID
survey-agent-role,surveyID,surveyID → surveyID,survey,surveyID
survey-assertion,surveyID,surveyID → surveyID,survey,surveyID
survey-assertion,assertionByID,assertionByID → agentID,agent,agentID
survey-assertion,assertionProtocolID,assertionProtocolID → protocolID,protocol,protocolID
survey-identifier,surveyID,surveyID → surveyID,survey,surveyID
survey-protocol,protocolID,protocolID → protocolID,protocol,protocolID
survey-protocol,surveyID,surveyID → surveyID,survey,surveyID
survey-reference,referenceID,referenceID → referenceID,reference,referenceID
survey-reference,surveyID,surveyID → surveyID,survey,surveyID
survey-target,surveyID,surveyID → surveyID,survey,surveyID
